epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.487,1.41047,3.17492,1.54839,0.00766,0.7573,0.20877,0.14513,0.90138,3.31593,1.14466,0.00022864,0.00022864,0.00022864
2,262.068,1.06494,2.09888,1.29703,0.7007,0.02743,0.41955,0.27353,0.98232,3.08314,1.25873,0.000456008,0.000456008,0.000456008
3,383.018,1.04126,1.79795,1.27561,0.58993,0.33289,0.39041,0.23019,1.01706,2.82986,1.32018,0.000667343,0.000667343,0.000667343
4,504.391,1.04124,1.65621,1.27764,0.60944,0.38086,0.4285,0.25078,1.11793,2.56802,1.44273,0.000862644,0.000862644,0.000862644
5,643.772,1.05292,1.55831,1.27046,0.67829,0.36179,0.38966,0.23728,1.23379,2.71989,1.53834,0.00104191,0.00104191,0.00104191
6,777.836,1.08678,1.58037,1.30436,0.54283,0.51971,0.53786,0.33694,1.0858,2.24138,1.46757,0.00119322,0.00119322,0.00119322
7,897.957,1.08652,1.51927,1.29588,0.40159,0.40589,0.3804,0.24256,1.23578,2.30642,1.44117,0.00114606,0.00114606,0.00114606
8,1017.94,1.0358,1.42858,1.26326,0.59489,0.43924,0.51387,0.30844,1.27325,2.19684,1.55232,0.0010989,0.0010989,0.0010989
9,1145.29,1.00943,1.3498,1.24051,0.58215,0.60509,0.63987,0.43311,1.11021,1.66059,1.3887,0.00105174,0.00105174,0.00105174
10,1274.75,0.99514,1.27458,1.24525,0.58553,0.55679,0.57024,0.36982,1.09671,1.69916,1.37149,0.00100459,0.00100459,0.00100459
11,1401.64,0.9786,1.23508,1.22889,0.46588,0.49786,0.45709,0.30849,1.10821,2.02949,1.39563,0.00095743,0.00095743,0.00095743
12,1528.4,0.97383,1.20559,1.21385,0.67113,0.59798,0.64275,0.45544,0.91105,1.36637,1.20476,0.000910273,0.000910273,0.000910273
13,1656.22,0.94573,1.15098,1.21117,0.75917,0.64603,0.69687,0.51327,0.86578,1.35031,1.16269,0.000863116,0.000863116,0.000863116
14,1784.67,0.94084,1.08872,1.20163,0.65772,0.62494,0.67521,0.47417,0.87864,1.39891,1.19438,0.000815959,0.000815959,0.000815959
15,1906.95,0.91081,1.08051,1.19695,0.74679,0.67287,0.73699,0.53523,0.8302,1.16154,1.17049,0.000768802,0.000768802,0.000768802
16,2035.88,0.89234,1.04939,1.16687,0.75034,0.63951,0.69712,0.4979,0.90441,1.21602,1.21336,0.000721645,0.000721645,0.000721645
17,2157.31,0.86017,1.01706,1.15156,0.60623,0.59522,0.61827,0.4602,0.81915,1.31569,1.17888,0.000674488,0.000674488,0.000674488
18,2275.57,0.8477,0.9707,1.14771,0.71005,0.66489,0.72657,0.53392,0.84298,1.1514,1.18249,0.000627331,0.000627331,0.000627331
19,2400.6,0.85507,0.9662,1.13488,0.66232,0.59985,0.68206,0.51246,0.83567,1.16563,1.17887,0.000580174,0.000580174,0.000580174
20,2529.23,0.86066,0.94282,1.14755,0.77704,0.68931,0.74912,0.56545,0.83913,1.03314,1.1769,0.000533017,0.000533017,0.000533017
21,2655.43,0.73518,0.97501,1.08337,0.7818,0.68624,0.75453,0.57409,0.82595,1.14243,1.18993,0.00048586,0.00048586,0.00048586
22,2782.07,0.71464,0.87376,1.05418,0.795,0.68929,0.75189,0.55651,0.85603,1.08685,1.17102,0.000438703,0.000438703,0.000438703
23,2907.07,0.68395,0.81941,1.03269,0.80084,0.62996,0.74283,0.5505,0.8362,1.05857,1.16562,0.000391546,0.000391546,0.000391546
24,3034.16,0.66391,0.77106,1.01984,0.79595,0.62694,0.7437,0.53847,0.91026,1.08245,1.19433,0.000344389,0.000344389,0.000344389
25,3157.22,0.67523,0.73801,1.02919,0.75867,0.65161,0.71907,0.54922,0.83363,1.00413,1.20822,0.000297232,0.000297232,0.000297232
26,3275.83,0.64938,0.72111,1.01904,0.89659,0.63416,0.77721,0.59119,0.8145,0.90267,1.19449,0.000250075,0.000250075,0.000250075
27,3407.5,0.65431,0.68886,1.017,0.74412,0.70741,0.74243,0.56895,0.79852,0.93248,1.17547,0.000202918,0.000202918,0.000202918
28,3525.49,0.61778,0.67042,0.98322,0.81472,0.67624,0.75857,0.58765,0.80241,0.92434,1.17977,0.000155761,0.000155761,0.000155761
29,3643.76,0.60331,0.6278,0.98289,0.86795,0.65915,0.77487,0.59515,0.78235,0.882,1.18661,0.000108604,0.000108604,0.000108604
30,3776.2,0.60292,0.62182,0.97696,0.85329,0.64207,0.76678,0.58966,0.78017,0.89193,1.17321,6.1447e-05,6.1447e-05,6.1447e-05
